,source,target,value
691,blockchain-parser,python-bitcoinlib,124.0
692,blockfinder,py2-ipaddress,263.0
693,blockspring,requests,1940.0
694,blocky,jinja2,268.0
695,blocky,flask,268.0
696,blocky,django,268.0
697,blowdrycss,tox,6232.0
698,blowdrycss,coverage,6232.0
699,blowdrycss,sphinx,6232.0
700,blowdrycss,wheel,6232.0
701,blowdrycss,twine,6232.0
702,blowdrycss,tox,6232.0
703,blowdrycss,sphinx,6232.0
704,blowdrycss,coverage,6232.0
705,blowdrycss,watchdog,6232.0
706,blowdrycss,pypandoc,6232.0
707,blowdrycss,future,6232.0
708,blowdrycss,cssutils,6232.0
709,BoardTester,natsort,278.0
710,BoardTester,wmi,278.0
711,BoardTester,colorama,278.0
712,BoardTester,wpexam,278.0
713,BoardTester,wasatchusb,278.0
714,BoardTester,phidgeter,278.0
715,boilerpipy,lxml,754.0
716,boilerpipy,beautifulsoup4,754.0
717,boilerpipy,urlparse2,754.0
718,bolib,scipy,176.0
719,bolib,numpy,176.0
720,boofuzz,pytest-bdd;,1919.0
721,boofuzz,pytest;,1919.0
722,boofuzz,mock;,1919.0
723,boofuzz,check-manifest;,1919.0
724,boofuzz,tornado,1919.0
725,boofuzz,pyserial,1919.0
726,boofuzz,pydot2,1919.0
727,boofuzz,impacket,1919.0
728,boofuzz,future,1919.0
729,boofuzz,Flask,1919.0
730,boomerang-client,requests,270.0
731,bootstrap_env,virtualenv,2365.0
732,bootstrapper,virtualenv,1572.0
733,bosonnlp,requests,1283.0
734,botibal,dnspython,588.0
735,botibal,slixmpp,588.0
736,botibal,pyasn1-modules,588.0
737,botibal,pyasn1,588.0
738,botogram,requests,1547.0
739,botogram,logbook,1547.0
740,bower-cache,django-bower-cache,272.0
741,bower-cache,django-celery,272.0
742,bower-cache,dj-static,272.0
743,bower-cache,gunicorn,272.0
744,bower-cache,importlib;,272.0
745,bpaste,pyperclip,170.0
746,bpaste,httplib2,170.0
747,brasil.gov.paginadestaque,robotsuite;,272.0
748,brasil.gov.paginadestaque,plone.testing;,272.0
749,brasil.gov.paginadestaque,plone.browserlayer;,272.0
750,brasil.gov.paginadestaque,plone.app.testing[robot],272.0
751,brasil.gov.paginadestaque,plone.app.robotframework;,272.0
752,brasil.gov.paginadestaque,mock;,272.0
753,brasil.gov.paginadestaque,zope.interface,272.0
754,brasil.gov.paginadestaque,zope.i18nmessageid,272.0
755,brasil.gov.paginadestaque,setuptools,272.0
756,brasil.gov.paginadestaque,sc.microsite,272.0
757,brasil.gov.paginadestaque,Products.GenericSetup,272.0
758,brasil.gov.paginadestaque,Products.CMFPlone,272.0
759,brasil.gov.paginadestaque,plone.app.upgrade,272.0
760,brasil.gov.paginadestaque,plone.api,272.0
761,brasil.gov.paginadestaque,five.grok,272.0
762,brasil.gov.paginadestaque,collective.z3cform.datagridfield,272.0
763,brasil.gov.paginadestaque,collective.cover,272.0
764,brasil.gov.temas,plone.app.testing;,853.0
765,brasil.gov.temas,plone.app.contenttypes,853.0
766,brasil.gov.temas,plone.app.themingplugins,853.0
767,brasil.gov.temas,setuptools,853.0
768,brasil.gov.temas,Products.CMFPlone,853.0
769,brasil.gov.temas,brasil.gov.portal,853.0
770,brasil.gov.tiles,Products.PloneFormGen;,804.0
771,brasil.gov.tiles,plone.testing;,804.0
772,brasil.gov.tiles,plone.cachepurging;,804.0
773,brasil.gov.tiles,plone.browserlayer;,804.0
774,brasil.gov.tiles,plone.app.testing[robot],804.0
775,brasil.gov.tiles,plone.app.robotframework;,804.0
776,brasil.gov.tiles,five.pt;,804.0
777,brasil.gov.tiles,mock;,804.0
778,brasil.gov.tiles,zope.schema,804.0
779,brasil.gov.tiles,zope.interface,804.0
780,brasil.gov.tiles,zope.component,804.0
781,brasil.gov.tiles,z3c.unconfigure,804.0
782,brasil.gov.tiles,setuptools,804.0
783,brasil.gov.tiles,Products.GenericSetup,804.0
784,brasil.gov.tiles,Products.CMFPlone,804.0
785,brasil.gov.tiles,Products.CMFCore,804.0
786,brasil.gov.tiles,plone.uuid,804.0
787,brasil.gov.tiles,plone.tiles,804.0
788,brasil.gov.tiles,plone.namedfile,804.0
789,brasil.gov.tiles,plone.memoize,804.0
790,brasil.gov.tiles,plone.dexterity,804.0
791,brasil.gov.tiles,plone.app.vocabularies,804.0
792,brasil.gov.tiles,plone.app.uuid,804.0
793,brasil.gov.tiles,plone.app.upgrade,804.0
794,brasil.gov.tiles,plone.app.tiles,804.0
795,brasil.gov.tiles,plone.app.textfield,804.0
796,brasil.gov.tiles,plone.app.registry,804.0
797,brasil.gov.tiles,plone.app.layout,804.0
798,brasil.gov.tiles,plone.app.iterate,804.0
799,brasil.gov.tiles,"plone.app.dexterity[grok,relations]",804.0
800,brasil.gov.tiles,plone.app.blocks,804.0
801,brasil.gov.tiles,five.grok,804.0
802,brasil.gov.tiles,collective.prettydate,804.0
803,brasil.gov.tiles,collective.polls,804.0
804,brasil.gov.tiles,collective.nitf,804.0
805,brasil.gov.tiles,collective.cover,804.0
806,bravado,twisted,3287.0
807,bravado,twisted,3287.0
808,bravado,six,3287.0
809,bravado,requests,3287.0
810,bravado,pyyaml,3287.0
811,bravado,python-dateutil,3287.0
812,bravado,fido,3287.0
813,bravado,crochet,3287.0
814,bravado,bravado-core,3287.0
815,bravado-core,swagger-spec-validator,4906.0
816,bravado-core,six,4906.0
817,bravado-core,simplejson,4906.0
818,bravado-core,pyyaml,4906.0
819,bravado-core,python-dateutil,4906.0
820,bravado-core,jsonschema,4906.0
821,brazil-types,six,490.0
822,briefcase,cookiecutter,612.0
823,briefcase,pip,612.0
824,brush,tornado,1228.0
825,brush,sqlalchemy,1228.0
826,brush,six,1228.0
827,bsonrpc,six,222.0
828,bubble,wheel,1437.0
829,bubble,tablib,1437.0
830,bubble,six,1437.0
831,bubble,simplejson,1437.0
832,bubble,python-dateutil,1437.0
833,bubble,path.py,1437.0
834,bubble,click,1437.0
835,bubble,arrow,1437.0
836,bubble,PyYAML,1437.0
837,BucketCache,mock;,941.0
838,BucketCache,pytest-xdist;,941.0
839,BucketCache,pytest-cov;,941.0
840,BucketCache,pytest-benchmark;,941.0
841,BucketCache,pytest;,941.0
842,BucketCache,msgpack-python;,941.0
843,BucketCache,mock;,941.0
844,BucketCache,pytest-cov;,941.0
845,BucketCache,sphinx;,941.0
846,BucketCache,pytest-benchmark;,941.0
847,BucketCache,clint;,941.0
848,BucketCache,msgpack-python;,941.0
849,BucketCache,shovel;,941.0
850,BucketCache,pytest-xdist;,941.0
851,BucketCache,twine;,941.0
852,BucketCache,packaging;,941.0
853,BucketCache,pytest;,941.0
854,BucketCache,pathlib;,941.0
855,BucketCache,represent,941.0
856,BucketCache,python-dateutil,941.0
857,BucketCache,logbook,941.0
858,BucketCache,six,941.0
859,BucketCache,decorator,941.0
860,BucketCache,boltons,941.0
861,budy,appier-extras,1304.0
862,budy,appier,1304.0
863,budy_api,appier,3389.0
864,buildthedocs,click,516.0
865,buildthedocs,pyyaml,516.0
866,buildthedocs,jinja2,516.0
867,buildthedocs,sphinx,516.0
868,buoyant,requests,449.0
869,bustools,aardvark-py;,385.0
870,bw2search,bw2data,259.0
871,bw2search,whoosh,259.0
872,bw2simple,brightway2,442.0
873,bw2simple,bw2calc,442.0
874,bw2simple,bw2data,442.0
875,bw2simple,bw2ui,442.0
876,bypy,requests;,3504.0
877,bypy,requests;,3504.0
878,bypy,requests;,3504.0
879,bypy,requests;,3504.0
880,bypy,requests;,3504.0
881,bypy,requests;,3504.0
882,bypy,requests;,3504.0
883,bypy,requests;,3504.0
884,bypy,requests;,3504.0
885,bypy,requests;,3504.0
886,bypy,requests;,3504.0
887,bypy,requests;,3504.0
888,bypy,requests;,3504.0
889,bypy,requests;,3504.0
890,bypy,requests;,3504.0
891,bypy,requests;,3504.0
892,bypy,requests;,3504.0
893,bypy,requests;,3504.0
894,bypy,requests;,3504.0
895,c2cgeoportal,waitress,3677.0
896,c2cgeoportal,pyramid-tm,3677.0
897,c2cgeoportal,pyramid-multiauth,3677.0
898,c2cgeoportal,pyramid-mako,3677.0
899,c2cgeoportal,pyramid-formalchemy,3677.0
900,c2cgeoportal,pyramid-debugtoolbar,3677.0
901,c2cgeoportal,pyramid-closure,3677.0
902,c2cgeoportal,pyramid-chameleon,3677.0
903,c2cgeoportal,pyramid,3677.0
904,c2cgeoportal,psycopg2,3677.0
905,c2cgeoportal,papyrus,3677.0
906,c2cgeoportal,lingua,3677.0
907,c2cgeoportal,js.jqueryui,3677.0
908,c2cgeoportal,js.jquery,3677.0
909,c2cgeoportal,isodate,3677.0
910,c2cgeoportal,ipcalc,3677.0
911,c2cgeoportal,httplib2,3677.0
912,c2cgeoportal,fa.jquery,3677.0
913,c2cgeoportal,dogpile.cache,3677.0
914,c2cgeoportal,SQLAHelper,3677.0
915,c2cgeoportal,PyYAML,3677.0
916,c2cgeoportal,PasteScript,3677.0
917,c2cgeoportal,PasteDeploy,3677.0
