,source,target,value
333,appdynamics,appdynamics-bindeps-linux-x86,23676.0
334,appdynamics,appdynamics-proxysupport-linux-x64,23676.0
335,appdynamics,appdynamics-bindeps-linux-x64,23676.0
336,appdynamics,appdynamics-proxysupport-osx-x86,23676.0
337,appdynamics,appdynamics-bindeps-osx-x86,23676.0
338,appdynamics,appdynamics-proxysupport-osx-x64,23676.0
339,appdynamics,appdynamics-bindeps-osx-x64,23676.0
340,appdynamics,appdynamics-proxysupport-linux-x86,23676.0
341,appdynamics,appdynamics-bindeps-linux-x86,23676.0
342,appdynamics,appdynamics-proxysupport-linux-x64,23676.0
343,appdynamics,appdynamics-bindeps-linux-x64,23676.0
344,appdynamics,appdynamics-proxysupport-osx-x86,23676.0
345,appdynamics,appdynamics-bindeps-osx-x86,23676.0
346,appdynamics,appdynamics-proxysupport-osx-x64,23676.0
347,appdynamics,appdynamics-bindeps-osx-x64,23676.0
348,appdynamics,appdynamics-proxysupport-linux-x86,23676.0
349,appdynamics,appdynamics-bindeps-linux-x86,23676.0
350,appdynamics,appdynamics-proxysupport-linux-x64,23676.0
351,appdynamics,appdynamics-bindeps-linux-x64,23676.0
352,appdynamics,appdynamics-proxysupport-osx-x86,23676.0
353,appdynamics,appdynamics-bindeps-osx-x86,23676.0
354,appdynamics,appdynamics-proxysupport-osx-x64,23676.0
355,appdynamics,appdynamics-bindeps-osx-x64,23676.0
356,appdynamics,appdynamics-proxysupport-linux-x86,23676.0
357,appdynamics,appdynamics-bindeps-linux-x86,23676.0
358,appdynamics,appdynamics-proxysupport-linux-x64,23676.0
359,appdynamics,appdynamics-bindeps-linux-x64,23676.0
360,appdynamics,appdynamics-proxysupport-osx-x86,23676.0
361,appdynamics,appdynamics-bindeps-osx-x86,23676.0
362,appdynamics,appdynamics-proxysupport-osx-x64,23676.0
363,appdynamics,appdynamics-bindeps-osx-x64,23676.0
364,appdynamics,appdynamics-proxysupport-linux-x86,23676.0
365,appdynamics,appdynamics-bindeps-linux-x86,23676.0
366,appdynamics,appdynamics-proxysupport-linux-x64,23676.0
367,appdynamics,appdynamics-bindeps-linux-x64,23676.0
368,appdynamics,appdynamics-proxysupport-osx-x86,23676.0
369,appdynamics,appdynamics-bindeps-osx-x86,23676.0
370,appdynamics,appdynamics-proxysupport-osx-x64,23676.0
371,appdynamics,appdynamics-bindeps-osx-x64,23676.0
372,appdynamics,appdynamics-proxysupport-linux-x86,23676.0
373,appdynamics,appdynamics-bindeps-linux-x86,23676.0
374,appdynamics,appdynamics-proxysupport-linux-x64,23676.0
375,appdynamics,appdynamics-bindeps-linux-x64,23676.0
376,appdynamics,appdynamics-proxysupport-osx-x86,23676.0
377,appdynamics,appdynamics-bindeps-osx-x86,23676.0
378,appdynamics,appdynamics-proxysupport-osx-x64,23676.0
379,appdynamics,appdynamics-bindeps-osx-x64,23676.0
380,appdynamics,appdynamics-proxysupport-linux-x86,23676.0
381,appdynamics,appdynamics-bindeps-linux-x86,23676.0
382,appdynamics,appdynamics-proxysupport-linux-x64,23676.0
383,appdynamics,appdynamics-bindeps-linux-x64,23676.0
384,AppDynamicsREST,nose;,1213.0
385,AppDynamicsREST,tzlocal;,1213.0
386,AppDynamicsREST,lxml;,1213.0
387,AppDynamicsREST,jinja2;,1213.0
388,AppDynamicsREST,six,1213.0
389,AppDynamicsREST,requests,1213.0
390,AppDynamicsREST,argparse,1213.0
391,appier_extras,appier,22898.0
392,APScheduler,futures;,56845.0
393,APScheduler,funcsigs;,56845.0
394,APScheduler,tzlocal,56845.0
395,APScheduler,six,56845.0
396,APScheduler,setuptools,56845.0
397,APScheduler,pytz,56845.0
398,ARCCSSive,SQLAlchemy,600.0
399,archive-installer,requests,128.0
400,archive-installer,pathlib2,128.0
401,archive-installer,ndg-httpsclient,128.0
402,archvyrt,libvirt-python,1446.0
403,argutils,six,596.0
404,argutils,pyyaml,596.0
405,armor_api,appier,457.0
406,arnold,termcolor,1348.0
407,arnold,peewee,1348.0
408,arpa,enum34,856.0
409,asana,six,4117.0
410,asana,requests-oauthlib,4117.0
411,asana,requests,4117.0
412,asdl,pep8,1058.0
413,asdl,nose;,1058.0
414,asdl,twine;,1058.0
415,askbot-slack,requests,339.0
416,askbot-slack,askbot,339.0
417,aslack,aiohttp,2202.0
418,aspectlib,fields,2632.0
419,asphalt,typeguard,492.0
420,asphalt,setuptools,492.0
421,asphalt,PyYAML,492.0
422,asphalt-mailer,asphalt,328.0
423,asphalt-py4j,py4j,499.0
424,asphalt-py4j,asphalt,499.0
425,asphalt-serialization,msgpack-python,356.0
426,asphalt-serialization,cbor,356.0
427,asphalt-serialization,asphalt,356.0
428,aspy.yaml,ordereddict;,13881.0
429,aspy.yaml,pyyaml,13881.0
430,aspy.yaml,ordereddict;,13881.0
431,aspy.yaml,pyyaml,13881.0
432,aspy.yaml,ordereddict;,13881.0
433,aspy.yaml,pyyaml,13881.0
434,Assemble,python-Levenshtein,1600.0
435,Assemble,pip,1600.0
436,Assemble,click,1600.0
437,Assemble,Pandora,1600.0
438,assetoolz,setuptools,955.0
439,assetoolz,sqlalchemy,955.0
440,assetoolz,pyyaml,955.0
441,assetoolz,simplejson,955.0
442,astexport,pep8,1605.0
443,astexport,nose,1605.0
444,astexport,twine;,1605.0
445,astro-pi,numpy,973.0
446,astro-pi,pillow,973.0
447,astsearch,astcheck,212.0
448,asyncio-time-travel,asyncio;,316.0
449,atcd,atc-thrift,623.0
450,atcd,sparts,623.0
451,atcd,pyotp,623.0
452,atcd,pyroute2,623.0
453,atc_thrift,thrift,619.0
454,atlassian-jwt-auth,requests,4036.0
455,atlassian-jwt-auth,cryptography,4036.0
456,atlassian-jwt-auth,PyJWT,4036.0
457,atlassian-jwt-auth,CacheControl,4036.0
458,atsd_client,requests,670.0
459,atsd_client,requests,670.0
460,atsd_client,requests,670.0
461,atsd_client,requests,670.0
462,atsd_client,requests,670.0
463,atsd_client,requests,670.0
464,atx,Pillow,32107.0
465,atx,maproxy,32107.0
466,atx,tornado,32107.0
467,atx,uiautomator,32107.0
468,atx,futures,32107.0
469,atx,aircv,32107.0
470,auacm,requests,1411.0
471,australian_ntv2_grid_conversion,redfearn,487.0
472,Automat,six,309.0
473,Automat,characteristic,309.0
474,automatatron,nose,161.0
475,automatatron,coverage,161.0
476,automaton,PrettyTable,44342.0
477,automaton,debtcollector,44342.0
478,automaton,six,44342.0
479,automaton,pbr,44342.0
480,autopwn,PyYAML,420.0
481,autopwn,screenutils,420.0
482,autopwn,inquirer,420.0
483,autopwn,readchar,420.0
484,auto-ss,beautifulsoup4,220.0
485,auto-ss,requesocks,220.0
486,auto-ss,requests,220.0
487,avalonms,sqlalchemy,420.0
488,avalonms,simplejson,420.0
489,avalonms,mutagen,420.0
490,avalonms,flask,420.0
491,Avenue,Pandora,534.0
492,aws-custom-json-manager,coverage;,97.0
493,aws-custom-json-manager,check-manifest;,97.0
494,aws-custom-json-manager,docopt,97.0
495,aws-custom-json-manager,boto3,97.0
496,aws-identity-manager,cmd2,619.0
497,awslimitchecker,python-dateutil,5781.0
498,awslimitchecker,termcolor,5781.0
499,awslimitchecker,boto3,5781.0
500,Axiom,Epsilon,712.0
501,Axiom,Twisted,712.0
502,axsemantics,requests,456.0
503,azure-common,msrestazure,47449.0
504,azure-common,msrest,47449.0
505,azure-common,azure-nspkg,47449.0
506,azure-graphrbac,azure-common[autorest],4611.0
507,azure-mgmt-authorization,azure-mgmt-nspkg,4540.0
508,azure-mgmt-authorization,azure-common[autorest],4540.0
509,azure-mgmt-cdn,azure-mgmt-nspkg,4536.0
510,azure-mgmt-cdn,azure-common[autorest],4536.0
511,azure-mgmt-compute,azure-mgmt-nspkg,26980.0
512,azure-mgmt-compute,azure-common[autorest],26980.0
513,azure-mgmt-logic,azure-mgmt-nspkg,4527.0
514,azure-mgmt-logic,azure-common[autorest],4527.0
515,azure-mgmt-network,azure-mgmt-nspkg,26881.0
516,azure-mgmt-network,azure-common[autorest],26881.0
517,azure-mgmt-notificationhubs,azure-mgmt-nspkg,4514.0
518,azure-mgmt-notificationhubs,azure-common[autorest],4514.0
519,azure-mgmt-redis,azure-mgmt-nspkg,4503.0
520,azure-mgmt-redis,azure-common[autorest],4503.0
521,azure-mgmt-resource,azure-mgmt-nspkg,26837.0
522,azure-mgmt-resource,azure-common[autorest],26837.0
523,azure-mgmt-scheduler,azure-mgmt-nspkg,4503.0
524,azure-mgmt-scheduler,azure-common[autorest],4503.0
525,azure-mgmt-storage,azure-mgmt-nspkg,26640.0
526,azure-mgmt-storage,azure-common[autorest],26640.0
527,azure-mgmt-web,azure-mgmt-nspkg,4493.0
528,azure-mgmt-web,azure-common[autorest],4493.0
529,Babel,pytz,814659.0
530,bakeit,requests[security],2818.0
531,bakeit,requests,2818.0
532,bakeit,pyperclip,2818.0
533,bandit,stevedore,59531.0
534,bandit,six,59531.0
535,bandit,PyYAML,59531.0
536,bandit,GitPython,59531.0
537,bandoleers,redis,292.0
538,bandoleers,requests,292.0
539,bandoleers,queries,292.0
540,bandoleers,psycopg2,292.0
541,bandoleers,consulate,292.0
542,bandoleers,cassandra-driver,292.0
543,bannock,clustrous,1280.0
544,bannock,fealty,1280.0
545,bannock,cellulist,1280.0
546,bannock,spatious,1280.0
547,bannock,agaro,1280.0
548,bannock,ciabatta,1280.0
549,bannock,matplotlib,1280.0
550,bannock,numpy,1280.0
551,bannock,Cython,1280.0
552,BanzaiDB,reportlab,425.0
553,BanzaiDB,rethinkdb,425.0
554,BanzaiDB,biopython,425.0
555,BanzaiDB,fabric,425.0
556,BanzaiDB,tablib,425.0
557,BanzaiDB,argparse,425.0
558,baresql,pandas,595.0
559,base116676,tweepy,1061.0
560,base116676,docopt,1061.0
561,bashate,Babel,48208.0
562,bashate,pbr,48208.0
563,bash_kernel,pexpect,1030.0
564,bashup,temporary,723.0
565,bashup,pyparsing,723.0
566,bashup,Jinja2,723.0
567,bashup,docopt,723.0
568,basket-client,requests,1439.0
569,beekeeper,xmltodict,1001.0
570,beemodoro,requests,220.0
571,behave,parse,51283.0
572,behave,parse-type,51283.0
573,behave,six,51283.0
574,BenchExec,tempita,3530.0
575,bernhard_joe,protobuf,148.0
576,betamax,requests,4286.0
577,betamax-matchers,requests-toolbelt,1566.0
578,betamax-matchers,betamax,1566.0
579,betamax-serializers,PyYAML;,615.0
580,betamax-serializers,betamax,615.0
581,bfg,pytoml,286.0
582,bfg,PyYAML,286.0
583,bfg,pandas,286.0
584,bfg,numpy,286.0
585,bfg,hyper,286.0
586,bfh,six,1659.0
587,bfh,python-dateutil,1659.0
588,bhtsne,numpy,3082.0
589,bhtsne,cython,3082.0
590,bibletk,txttk,2921.0
591,bibletk,python-pptx,2921.0
592,bibletk,future,2921.0
593,bibletk,wheel,2921.0
594,bigslacker,slackclient,350.0
595,Billabong,paramiko,1630.0
596,Billabong,baker,1630.0
597,Billabong,python-magic,1630.0
598,Billabong,pycrypto,1630.0
599,billboard.py,requests,812.0
600,billboard.py,beautifulsoup4,812.0
601,billy,pyelasticsearch,1325.0
602,billy,validictory,1325.0
603,billy,unicodecsv,1325.0
604,billy,scrapelib,1325.0
605,billy,pymongo,1325.0
606,billy,nose,1325.0
607,billy,name-tools,1325.0
608,billy,lxml,1325.0
609,billy,icalendar,1325.0
610,billy,boto,1325.0
611,billy,django-pjax,1325.0
612,billy,Django,1325.0
613,bindep,pbr,613.0
614,bindep,Parsley,613.0
615,bioformats,pyvcf,1757.0
616,bioformats,pyfaidx,1757.0
617,bioformats,future,1757.0
618,birdhousebuilder.recipe.celery,zope.testing;,404.0
619,birdhousebuilder.recipe.celery,zc.buildout;,404.0
620,birdhousebuilder.recipe.celery,manuel;,404.0
621,birdhousebuilder.recipe.celery,zc.recipe.egg,404.0
622,birdhousebuilder.recipe.celery,zc.buildout,404.0
623,birdhousebuilder.recipe.celery,setuptools,404.0
624,birdhousebuilder.recipe.celery,birdhousebuilder.recipe.supervisor,404.0
625,birdhousebuilder.recipe.celery,birdhousebuilder.recipe.conda,404.0
626,birdhousebuilder.recipe.celery,Mako,404.0
627,birdhousebuilder.recipe.ncwms,zope.testing;,448.0
628,birdhousebuilder.recipe.ncwms,zc.buildout;,448.0
629,birdhousebuilder.recipe.ncwms,manuel;,448.0
630,birdhousebuilder.recipe.ncwms,zc.buildout,448.0
631,birdhousebuilder.recipe.ncwms,setuptools,448.0
632,birdhousebuilder.recipe.ncwms,birdhousebuilder.recipe.tomcat,448.0
633,birdhousebuilder.recipe.ncwms,birdhousebuilder.recipe.conda,448.0
634,birdhousebuilder.recipe.ncwms,Mako,448.0
635,birdhousebuilder.recipe.thredds,zope.testing;,634.0
636,birdhousebuilder.recipe.thredds,zc.buildout;,634.0
637,birdhousebuilder.recipe.thredds,manuel;,634.0
638,birdhousebuilder.recipe.thredds,zc.buildout,634.0
639,birdhousebuilder.recipe.thredds,setuptools,634.0
640,birdhousebuilder.recipe.thredds,birdhousebuilder.recipe.tomcat,634.0
641,birdhousebuilder.recipe.thredds,birdhousebuilder.recipe.conda,634.0
642,birdhousebuilder.recipe.thredds,Mako,634.0
643,bisque_api,lxml;,253.0
644,bisque_api,tables;,253.0
645,bisque_api,BeautifulSoup4;,253.0
646,bisque_api,requests,253.0
647,bisque_api,six,253.0
648,bisque_base,pyramid-beaker,140.0
649,bisque_base,pyramid,140.0
650,bisque_base,pyramid-chameleon,140.0
651,bisque_base,pyramid-debugtoolbar,140.0
652,bisque_base,pyramid-authstack,140.0
653,bisque_base,pyramid-genshi,140.0
654,bisque_base,waitress,140.0
655,bisque_base,shortuuid,140.0
656,bisque_base,six,140.0
657,bisque_engine,lxml;,649.0
658,bisque_engine,bisque-base,649.0
659,bisque_engine,bisque-api,649.0
660,bitbucket-linter,coverage;,4466.0
661,bitbucket-linter,check-manifest;,4466.0
662,bitbucket-linter,wrapt,4466.0
663,bitbucket-linter,wheel,4466.0
664,bitbucket-linter,uritemplate,4466.0
665,bitbucket-linter,six,4466.0
666,bitbucket-linter,simplejson,4466.0
667,bitbucket-linter,requests-oauthlib,4466.0
668,bitbucket-linter,requests,4466.0
669,bitbucket-linter,pylint,4466.0
670,bitbucket-linter,pybitbucket,4466.0
671,bitbucket-linter,oauthlib,4466.0
